Location,Total Traditional Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Total Traditional Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Total Traditional Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments
MISSOURI,707230,661529,"$7,409,955,196",705970,142211,"$3,467,638,843",614868,648819,"$3,942,316,353"
MONTANA,188073,172143,"$1,626,583,833",187346,26761,"$664,345,909",170075,170237,"$962,237,925"
NEBRASKA,272226,259753,"$2,904,540,192",271901,46809,"$1,269,115,537",243477,257012,"$1,635,424,654"
NEVADA,316990,273357,"$3,525,162,484",314391,57043,"$1,762,836,899",262590,265737,"$1,762,325,585"
NEW HAMPSHIRE,234830,208051,"$2,200,212,231",234713,35802,"$1,006,458,207",201995,205455,"$1,193,754,025"
NEW JERSEY,1075739,959117,"$13,333,090,391",1061472,190351,"$6,374,936,453",904540,946765,"$6,958,153,938"
NEW MEXICO,252475,229007,"$2,187,724,333",247550,39477,"$988,032,636",217588,223855,"$1,199,691,697"
NEW YORK,1996240,1817771,"$26,228,103,828",1985166,363640,"$13,612,962,626",1662123,1789891,"$12,615,141,203"
NORTH CAROLINA,1148967,1106895,"$11,611,543,435",1141602,210055,"$5,223,625,109",1023283,1089056,"$6,387,918,326"
NORTH DAKOTA,105943,118795,"$1,197,587,193",105490,19881,"$517,686,315",95008,117903,"$679,900,878"
OHIO,1227265,1180834,"$13,045,771,320",1225316,259740,"$6,579,960,614",1057718,1158833,"$6,465,810,706"
OKLAHOMA,528377,492453,"$5,988,040,719",528109,107585,"$2,852,468,336",462960,483633,"$3,135,572,383"
OREGON,459062,412891,"$3,952,432,859",458526,70798,"$1,784,212,918",389676,402480,"$2,168,219,941"
PENNSYLVANIA,1493883,1393506,"$15,821,015,593",1481205,292286,"$7,640,779,360",1268419,1367393,"$8,180,236,233"
RHODE ISLAND,111983,101231,"$1,090,410,347",109984,21390,"$544,813,057",88713,98511,"$545,597,290"
SOUTH CAROLINA,712041,690388,"$7,303,580,438",707164,126642,"$3,190,808,841",643967,680027,"$4,112,771,597"
SOUTH DAKOTA,136475,151688,"$1,555,704,395",136409,26258,"$674,408,947",121897,150411,"$881,295,447"
TENNESSEE,766844,732420,"$7,583,702,280",763609,146864,"$3,408,835,879",670104,716924,"$4,174,866,401"
TEXAS,2347931,2119870,"$28,089,834,378",2343348,471057,"$13,915,058,282",1975392,2069558,"$14,174,776,096"
UTAH,242369,220690,"$2,369,071,426",239499,42192,"$1,038,107,002",204517,215083,"$1,330,964,424"
VERMONT,124384,114169,"$1,145,092,454",124291,18025,"$526,765,808",111678,113141,"$618,326,645"
VIRGINIA,1112731,1016486,"$10,542,973,901",1107790,184419,"$4,690,162,397",960543,999474,"$5,852,811,504"
WASHINGTON,865220,775317,"$7,559,019,903",863450,122873,"$3,290,191,565",739310,763020,"$4,268,828,338"
WEST VIRGINIA,254195,255668,"$2,671,150,063",254051,53694,"$1,328,906,844",225144,251138,"$1,342,243,219"
WISCONSIN,622437,633184,"$6,356,566,138",622134,119693,"$2,996,655,124",546260,624176,"$3,359,911,014"
WYOMING,110505,102034,"$1,102,331,666",110376,16114,"$492,503,596",101463,101392,"$609,828,070"
