"Year","OSHPD Facility Number","Facility Name","County Name","Expected Payer","Count","Total Inpatient Stays"
2009,"010782","THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Private Coverage",53,136
2009,"010782","THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Other Government",83,136
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","Medicare",4056,10096
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","Medi-Cal",2193,10096
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","Private Coverage",3062,10096
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","Workers' Compensation",117,10096
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","County Indigent Programs",4,10096
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","Other Government",120,10096
2009,"010805","EDEN MEDICAL CENTER","ALAMEDA","Self Pay",544,10096
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Medicare",1094,3570
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Medi-Cal",776,3570
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Private Coverage",1590,3570
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Workers' Compensation",7,3570
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","County Indigent Programs",58,3570
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Other Government",32,3570
2009,"010844","ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Self Pay",13,3570
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Medicare",2185,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Medi-Cal",8272,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Private Coverage",549,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Workers' Compensation",44,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","County Indigent Programs",2075,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Other Government",93,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Other Indigent",360,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Self Pay",1144,14731
2009,"010846","ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","Other Payer",9,14731
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Medicare",6362,20141
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Medi-Cal",1130,20141
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Private Coverage",12233,20141
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Workers' Compensation",29,20141
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Other Government",3,20141
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Self Pay",380,20141
2009,"010856","KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Other Payer",4,20141
2009,"010858","KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Medicare",6194,18814
2009,"010858","KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Medi-Cal",848,18814
2009,"010858","KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Private Coverage",11440,18814
2009,"010858","KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Workers' Compensation",30,18814
2009,"010858","KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Other Government",1,18814
2009,"010858","KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Self Pay",301,18814
2009,"010887","KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","ALAMEDA","Medicare",261,463
2009,"010887","KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","ALAMEDA","Medi-Cal",27,463
2009,"010887","KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","ALAMEDA","Private Coverage",175,463
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Medicare",6884,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Medi-Cal",1816,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Private Coverage",5114,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Workers' Compensation",94,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","County Indigent Programs",64,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Other Government",103,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Other Indigent",436,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Self Pay",47,14560
2009,"010937","ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Other Payer",2,14560
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Medicare",2878,8841
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Medi-Cal",3919,8841
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Private Coverage",1163,8841
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Workers' Compensation",27,8841
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Other Government",15,8841
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Other Indigent",59,8841
2009,"010967","ST. ROSE HOSPITAL","ALAMEDA","Self Pay",780,8841
2009,"010987","WASHINGTON HOSPITAL - FREMONT","ALAMEDA","Medicare",6353,15695
2009,"010987","WASHINGTON HOSPITAL - FREMONT","ALAMEDA","Medi-Cal",1952,15695
2009,"010987","WASHINGTON HOSPITAL - FREMONT","ALAMEDA","Private Coverage",6800,15695
2009,"010987","WASHINGTON HOSPITAL - FREMONT","ALAMEDA","Workers' Compensation",131,15695
2009,"010987","WASHINGTON HOSPITAL - FREMONT","ALAMEDA","Other Government",49,15695
2009,"010987","WASHINGTON HOSPITAL - FREMONT","ALAMEDA","Self Pay",410,15695
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Medicare",2812,4223
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Medi-Cal",679,4223
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Private Coverage",455,4223
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Workers' Compensation",18,4223
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Other Government",30,4223
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Other Indigent",172,4223
2009,"013619","SAN LEANDRO HOSPITAL","ALAMEDA","Self Pay",57,4223
2009,"013687","MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Private Coverage",494,591
2009,"013687","MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Other Government",33,591
2009,"013687","MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Other Indigent",9,591
2009,"013687","MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Self Pay",54,591
2009,"013687","MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Other Payer",1,591
2009,"014034","FREMONT HOSPITAL","ALAMEDA","Medicare",560,3438
2009,"014034","FREMONT HOSPITAL","ALAMEDA","Medi-Cal",310,3438
2009,"014034","FREMONT HOSPITAL","ALAMEDA","Private Coverage",2005,3438
2009,"014034","FREMONT HOSPITAL","ALAMEDA","County Indigent Programs",535,3438
2009,"014034","FREMONT HOSPITAL","ALAMEDA","Self Pay",28,3438
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Medicare",3456,9421
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Medi-Cal",1487,9421
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Private Coverage",3895,9421
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Workers' Compensation",148,9421
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Other Government",196,9421
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Self Pay",207,9421
2009,"014050","VALLEYCARE MEDICAL CENTER","ALAMEDA","Other Payer",32,9421
2009,"014207","TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","ALAMEDA","Medicare",148,1272
2009,"014207","TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","ALAMEDA","Private Coverage",1015,1272
2009,"014207","TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","ALAMEDA","Workers' Compensation",1,1272
2009,"014207","TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","ALAMEDA","County Indigent Programs",107,1272
2009,"014207","TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","ALAMEDA","Self Pay",1,1272
2009,"014226","TELECARE WILLOW ROCK CENTER","ALAMEDA","Medi-Cal",396,649
2009,"014226","TELECARE WILLOW ROCK CENTER","ALAMEDA","Private Coverage",252,649
2009,"014226","TELECARE WILLOW ROCK CENTER","ALAMEDA","Self Pay",1,649
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","Medicare",1140,2658
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","Medi-Cal",594,2658
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","Private Coverage",702,2658
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","Workers' Compensation",12,2658
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","County Indigent Programs",77,2658
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","Other Government",63,2658
2009,"034002","SUTTER AMADOR HOSPITAL","AMADOR","Self Pay",70,2658
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Medicare",523,733
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Medi-Cal",91,733
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Private Coverage",68,733
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Workers' Compensation",2,733
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","County Indigent Programs",14,733
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Other Government",10,733
2009,"040802","BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Self Pay",25,733
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Medicare",2393,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Medi-Cal",1567,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Private Coverage",1624,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Workers' Compensation",6,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","County Indigent Programs",141,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Other Government",48,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Self Pay",93,5897
2009,"040875","FEATHER RIVER HOSPITAL","BUTTE","Other Payer",25,5897
2009,"040937","OROVILLE HOSPITAL","BUTTE","Medicare",4528,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","Medi-Cal",2870,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","Private Coverage",1109,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","Workers' Compensation",28,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","County Indigent Programs",460,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","Other Government",107,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","Other Indigent",6,9417
2009,"040937","OROVILLE HOSPITAL","BUTTE","Self Pay",309,9417
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Medicare",7250,16090
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Medi-Cal",3386,16090
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Private Coverage",4348,16090
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Workers' Compensation",119,16090
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","County Indigent Programs",653,16090
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Other Government",155,16090
2009,"040962","ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Self Pay",179,16090
2009,"044006","BUTTE COUNTY PHF","BUTTE","Medicare",98,609
2009,"044006","BUTTE COUNTY PHF","BUTTE","Medi-Cal",236,609
2009,"044006","BUTTE COUNTY PHF","BUTTE","Private Coverage",15,609
2009,"044006","BUTTE COUNTY PHF","BUTTE","County Indigent Programs",111,609
2009,"044006","BUTTE COUNTY PHF","BUTTE","Self Pay",149,609
2009,"050932","MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Medicare",947,1538
2009,"050932","MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Medi-Cal",183,1538
2009,"050932","MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Private Coverage",253,1538
2009,"050932","MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Workers' Compensation",10,1538
2009,"050932","MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Other Government",18,1538
2009,"050932","MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Self Pay",127,1538
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","Medicare",541,1392
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","Medi-Cal",559,1392
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","Private Coverage",214,1392
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","Workers' Compensation",7,1392
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","County Indigent Programs",10,1392
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","Self Pay",60,1392
2009,"060870","COLUSA REGIONAL MEDICAL CENTER","COLUSA","Other Payer",1,1392
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Medicare",3557,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Medi-Cal",1109,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Private Coverage",758,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Workers' Compensation",38,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","County Indigent Programs",94,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Other Government",269,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Other Indigent",2,6274
2009,"070904","DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","Self Pay",447,6274
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Medicare",1595,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Medi-Cal",7281,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Private Coverage",834,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Workers' Compensation",6,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","County Indigent Programs",1692,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Other Government",182,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Other Indigent",95,11848
2009,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","Self Pay",163,11848
2009,"070934","SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","Medicare",3316,8437
2009,"070934","SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","Medi-Cal",2412,8437
2009,"070934","SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","Private Coverage",2014,8437
2009,"070934","SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","Workers' Compensation",11,8437
2009,"070934","SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","Other Government",80,8437
2009,"070934","SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","Self Pay",604,8437
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","Medicare",7567,20020
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","Medi-Cal",684,20020
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","Private Coverage",10532,20020
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","Workers' Compensation",238,20020
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","County Indigent Programs",1,20020
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","Other Government",260,20020
2009,"070988","JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","Self Pay",738,20020
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Medicare",6317,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Medi-Cal",388,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Private Coverage",11988,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Workers' Compensation",11,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Other Government",7,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Other Indigent",1,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Self Pay",254,18968
2009,"070990","KAISER FND HOSP - WALNUT CREEK","CONTRA COSTA","Other Payer",2,18968
2009,"071018","JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","Medicare",5114,9055
2009,"071018","JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","Medi-Cal",891,9055
2009,"071018","JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","Private Coverage",2631,9055
2009,"071018","JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","Workers' Compensation",77,9055
2009,"071018","JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","Self Pay",342,9055
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Medicare",1474,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Medi-Cal",92,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Private Coverage",3816,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Workers' Compensation",135,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Other Government",41,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Other Indigent",16,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Self Pay",2,5579
2009,"074017","SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","Other Payer",3,5579
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Medicare",405,2776
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Medi-Cal",492,2776
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Private Coverage",1552,2776
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Workers' Compensation",6,2776
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Other Government",212,2776
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Self Pay",80,2776
2009,"074039","JOHN MUIR BEHAVIORAL HEALTH CENTER","CONTRA COSTA","Other Payer",29,2776
2009,"074097","KAISER FOUND HSP-ANTIOCH","CONTRA COSTA","Medicare",3191,9046
2009,"074097","KAISER FOUND HSP-ANTIOCH","CONTRA COSTA","Medi-Cal",438,9046
2009,"074097","KAISER FOUND HSP-ANTIOCH","CONTRA COSTA","Private Coverage",5289,9046
2009,"074097","KAISER FOUND HSP-ANTIOCH","CONTRA COSTA","Workers' Compensation",12,9046
2009,"074097","KAISER FOUND HSP-ANTIOCH","CONTRA COSTA","Other Government",1,9046
2009,"074097","KAISER FOUND HSP-ANTIOCH","CONTRA COSTA","Self Pay",115,9046
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","Medicare",1199,2776
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","Medi-Cal",736,2776
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","Private Coverage",504,2776
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","Workers' Compensation",10,2776
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","County Indigent Programs",110,2776
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","Other Government",134,2776
2009,"084001","SUTTER COAST HOSPITAL","DEL NORTE","Self Pay",83,2776
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Medicare",797,3038
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Medi-Cal",852,3038
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Private Coverage",1079,3038
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Workers' Compensation",58,3038
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Other Government",114,3038
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Self Pay",119,3038
2009,"090793","BARTON MEMORIAL HOSPITAL","EL DORADO","Other Payer",19,3038
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Medicare",3301,6465
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Medi-Cal",1485,6465
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Private Coverage",1526,6465
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Workers' Compensation",36,6465
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Other Government",11,6465
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Self Pay",97,6465
2009,"090933","MARSHALL  MEDICAL CENTER (1-RH)","EL DORADO","Other Payer",9,6465
2009,"094002","EL DORADO COUNTY P H F","EL DORADO","Medi-Cal",167,337
2009,"094002","EL DORADO COUNTY P H F","EL DORADO","Private Coverage",3,337
2009,"094002","EL DORADO COUNTY P H F","EL DORADO","County Indigent Programs",78,337
2009,"094002","EL DORADO COUNTY P H F","EL DORADO","Other Government",85,337
2009,"094002","EL DORADO COUNTY P H F","EL DORADO","Self Pay",4,337
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Medicare",2312,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Medi-Cal",3140,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Private Coverage",7170,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Workers' Compensation",15,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","County Indigent Programs",29,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Other Government",150,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Self Pay",321,13139
2009,"100005","CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","Other Payer",2,13139
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Medicare",241,1278
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Medi-Cal",117,1278
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Private Coverage",137,1278
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Workers' Compensation",5,1278
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Other Government",707,1278
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Self Pay",50,1278
2009,"100697","COALINGA REGIONAL MEDICAL CENTER","FRESNO","Other Payer",21,1278
