COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
GLENN,2015,Child vs. adult,0–17 years,0–17 years,39,51.8
HUMBOLDT,2015,Child vs. adult,0–17 years,0–17 years,153,59.3
IMPERIAL,2015,Child vs. adult,0–17 years,0–17 years,737,140.1
INYO,2015,Child vs. adult,0–17 years,0–17 years,33,92
KERN,2015,Child vs. adult,0–17 years,0–17 years,2566,96.8
KINGS,2015,Child vs. adult,0–17 years,0–17 years,615,143.4
LAKE,2015,Child vs. adult,0–17 years,0–17 years,115,90.6
LASSEN,2015,Child vs. adult,0–17 years,0–17 years,33,59.7
LOS ANGELES,2015,Child vs. adult,0–17 years,0–17 years,20540,88.7
MADERA,2015,Child vs. adult,0–17 years,0–17 years,586,133
MARIN,2015,Child vs. adult,0–17 years,0–17 years,167,33.5
MARIPOSA,2015,Child vs. adult,0–17 years,0–17 years,NA,NA
MENDOCINO,2015,Child vs. adult,0–17 years,0–17 years,130,69
MERCED,2015,Child vs. adult,0–17 years,0–17 years,1110,139.8
MODOC,2015,Child vs. adult,0–17 years,0–17 years,19,100.1
MONO,2015,Child vs. adult,0–17 years,0–17 years,16,52.7
MONTEREY,2015,Child vs. adult,0–17 years,0–17 years,970,84.2
NAPA,2015,Child vs. adult,0–17 years,0–17 years,190,62.5
NEVADA,2015,Child vs. adult,0–17 years,0–17 years,79,47.9
ORANGE,2015,Child vs. adult,0–17 years,0–17 years,4279,59.7
PLACER,2015,Child vs. adult,0–17 years,0–17 years,337,41.5
PLUMAS,2015,Child vs. adult,0–17 years,0–17 years,21,65.2
RIVERSIDE,2015,Child vs. adult,0–17 years,0–17 years,3917,64.9
SACRAMENTO,2015,Child vs. adult,0–17 years,0–17 years,3285,90.8
SAN BENITO,2015,Child vs. adult,0–17 years,0–17 years,115,76.6
SAN BERNARDINO,2015,Child vs. adult,0–17 years,0–17 years,5019,87.7
SAN DIEGO,2015,Child vs. adult,0–17 years,0–17 years,4616,62.1
SAN FRANCISCO,2015,Child vs. adult,0–17 years,0–17 years,850,64.9
SAN JOAQUIN,2015,Child vs. adult,0–17 years,0–17 years,1868,95.1
SAN LUIS OBISPO,2015,Child vs. adult,0–17 years,0–17 years,321,65
SAN MATEO,2015,Child vs. adult,0–17 years,0–17 years,826,49.5
SANTA BARBARA,2015,Child vs. adult,0–17 years,0–17 years,689,70
SANTA CLARA,2015,Child vs. adult,0–17 years,0–17 years,1976,44.1
SANTA CRUZ,2015,Child vs. adult,0–17 years,0–17 years,343,60.8
SHASTA,2015,Child vs. adult,0–17 years,0–17 years,300,78.1
SIERRA,2015,Child vs. adult,0–17 years,0–17 years,NA,NA
SISKIYOU,2015,Child vs. adult,0–17 years,0–17 years,43,50.4
SOLANO,2015,Child vs. adult,0–17 years,0–17 years,1141,119.4
SONOMA,2015,Child vs. adult,0–17 years,0–17 years,586,56.9
STANISLAUS,2015,Child vs. adult,0–17 years,0–17 years,1236,85.8
SUTTER,2015,Child vs. adult,0–17 years,0–17 years,121,47.5
TEHAMA,2015,Child vs. adult,0–17 years,0–17 years,128,85.3
TRINITY,2015,Child vs. adult,0–17 years,0–17 years,NA,NA
TULARE,2015,Child vs. adult,0–17 years,0–17 years,1264,85.5
TUOLUMNE,2015,Child vs. adult,0–17 years,0–17 years,54,60.9
VENTURA,2015,Child vs. adult,0–17 years,0–17 years,1271,62.7
YOLO,2015,Child vs. adult,0–17 years,0–17 years,291,67.7
YUBA,2015,Child vs. adult,0–17 years,0–17 years,131,62.5
CALIFORNIA,2015,Child vs. adult,18+ years,18+ years,117854,40
ALAMEDA,2015,Child vs. adult,18+ years,18+ years,6513,53.1
ALPINE,2015,Child vs. adult,18+ years,18+ years,0,0
AMADOR,2015,Child vs. adult,18+ years,18+ years,151,49.1
BUTTE,2015,Child vs. adult,18+ years,18+ years,736,43.8
CALAVERAS,2015,Child vs. adult,18+ years,18+ years,139,42.7
COLUSA,2015,Child vs. adult,18+ years,18+ years,49,29
CONTRA COSTA,2015,Child vs. adult,18+ years,18+ years,4528,54.8
DEL NORTE,2015,Child vs. adult,18+ years,18+ years,91,41.9
EL DORADO,2015,Child vs. adult,18+ years,18+ years,422,32.8
FRESNO,2015,Child vs. adult,18+ years,18+ years,3454,49.5
GLENN,2015,Child vs. adult,18+ years,18+ years,83,39.4
HUMBOLDT,2015,Child vs. adult,18+ years,18+ years,682,64.8
IMPERIAL,2015,Child vs. adult,18+ years,18+ years,651,47.2
INYO,2015,Child vs. adult,18+ years,18+ years,55,40.1
KERN,2015,Child vs. adult,18+ years,18+ years,3293,50.3
KINGS,2015,Child vs. adult,18+ years,18+ years,635,56.1
LAKE,2015,Child vs. adult,18+ years,18+ years,363,76.9
LASSEN,2015,Child vs. adult,18+ years,18+ years,115,40.2
LOS ANGELES,2015,Child vs. adult,18+ years,18+ years,31687,40.8
MADERA,2015,Child vs. adult,18+ years,18+ years,445,37.7
MARIN,2015,Child vs. adult,18+ years,18+ years,374,18.3
MARIPOSA,2015,Child vs. adult,18+ years,18+ years,69,51.8
MENDOCINO,2015,Child vs. adult,18+ years,18+ years,349,53.4
MERCED,2015,Child vs. adult,18+ years,18+ years,1315,69.2
MODOC,2015,Child vs. adult,18+ years,18+ years,34,56.7
MONO,2015,Child vs. adult,18+ years,18+ years,27,24.8
MONTEREY,2015,Child vs. adult,18+ years,18+ years,1224,38.3
NAPA,2015,Child vs. adult,18+ years,18+ years,382,34.7
NEVADA,2015,Child vs. adult,18+ years,18+ years,272,41
ORANGE,2015,Child vs. adult,18+ years,18+ years,5996,24.9
PLACER,2015,Child vs. adult,18+ years,18+ years,788,27.9
PLUMAS,2015,Child vs. adult,18+ years,18+ years,78,53.2
RIVERSIDE,2015,Child vs. adult,18+ years,18+ years,6194,35.7
SACRAMENTO,2015,Child vs. adult,18+ years,18+ years,6824,61.7
SAN BENITO,2015,Child vs. adult,18+ years,18+ years,170,40.9
SAN BERNARDINO,2015,Child vs. adult,18+ years,18+ years,7742,49.5
SAN DIEGO,2015,Child vs. adult,18+ years,18+ years,7030,28.3
SAN FRANCISCO,2015,Child vs. adult,18+ years,18+ years,2291,33
SAN JOAQUIN,2015,Child vs. adult,18+ years,18+ years,2934,56.2
SAN LUIS OBISPO,2015,Child vs. adult,18+ years,18+ years,629,31.4
SAN MATEO,2015,Child vs. adult,18+ years,18+ years,1869,31.9
SANTA BARBARA,2015,Child vs. adult,18+ years,18+ years,1045,30.5
SANTA CLARA,2015,Child vs. adult,18+ years,18+ years,4545,31.9
SANTA CRUZ,2015,Child vs. adult,18+ years,18+ years,567,28.1
SHASTA,2015,Child vs. adult,18+ years,18+ years,715,54.4
SIERRA,2015,Child vs. adult,18+ years,18+ years,NA,NA
SISKIYOU,2015,Child vs. adult,18+ years,18+ years,133,45.8
SOLANO,2015,Child vs. adult,18+ years,18+ years,2274,70.7
SONOMA,2015,Child vs. adult,18+ years,18+ years,1350,34.4
STANISLAUS,2015,Child vs. adult,18+ years,18+ years,2045,51.9
SUTTER,2015,Child vs. adult,18+ years,18+ years,216,29.4
TEHAMA,2015,Child vs. adult,18+ years,18+ years,195,41.4
TRINITY,2015,Child vs. adult,18+ years,18+ years,60,70.2
TULARE,2015,Child vs. adult,18+ years,18+ years,1278,39.4
TUOLUMNE,2015,Child vs. adult,18+ years,18+ years,203,50.4
VENTURA,2015,Child vs. adult,18+ years,18+ years,1662,25.8
YOLO,2015,Child vs. adult,18+ years,18+ years,561,36
YUBA,2015,Child vs. adult,18+ years,18+ years,215,39.5
CALIFORNIA,2015,Age groups,0–4 years,0–4 years,25563,98.7
ALAMEDA,2015,Age groups,0–4 years,0–4 years,1354,134.6
ALPINE,2015,Age groups,0–4 years,0–4 years,0,0
AMADOR,2015,Age groups,0–4 years,0–4 years,17,128.3
BUTTE,2015,Age groups,0–4 years,0–4 years,99,87.8
CALAVERAS,2015,Age groups,0–4 years,0–4 years,18,106.8
COLUSA,2015,Age groups,0–4 years,0–4 years,14,87.5
CONTRA COSTA,2015,Age groups,0–4 years,0–4 years,791,125.5
DEL NORTE,2015,Age groups,0–4 years,0–4 years,NA,NA
EL DORADO,2015,Age groups,0–4 years,0–4 years,48,55.9
FRESNO,2015,Age groups,0–4 years,0–4 years,1792,220.1
GLENN,2015,Age groups,0–4 years,0–4 years,20,98.9
HUMBOLDT,2015,Age groups,0–4 years,0–4 years,43,65.2
IMPERIAL,2015,Age groups,0–4 years,0–4 years,161,100.9
INYO,2015,Age groups,0–4 years,0–4 years,13,138.9
KERN,2015,Age groups,0–4 years,0–4 years,878,117.2
KINGS,2015,Age groups,0–4 years,0–4 years,212,171.7
LAKE,2015,Age groups,0–4 years,0–4 years,30,87.6
LASSEN,2015,Age groups,0–4 years,0–4 years,NA,NA
LOS ANGELES,2015,Age groups,0–4 years,0–4 years,6693,98.7
MADERA,2015,Age groups,0–4 years,0–4 years,241,198.1
MARIN,2015,Age groups,0–4 years,0–4 years,61,48.5
MARIPOSA,2015,Age groups,0–4 years,0–4 years,NA,NA
MENDOCINO,2015,Age groups,0–4 years,0–4 years,40,79.4
MERCED,2015,Age groups,0–4 years,0–4 years,373,176.2
MODOC,2015,Age groups,0–4 years,0–4 years,NA,NA
MONO,2015,Age groups,0–4 years,0–4 years,NA,NA
MONTEREY,2015,Age groups,0–4 years,0–4 years,336,99.5
NAPA,2015,Age groups,0–4 years,0–4 years,54,66.2
NEVADA,2015,Age groups,0–4 years,0–4 years,30,73.5
ORANGE,2015,Age groups,0–4 years,0–4 years,1668,82.8
PLACER,2015,Age groups,0–4 years,0–4 years,91,45.2
PLUMAS,2015,Age groups,0–4 years,0–4 years,NA,NA
RIVERSIDE,2015,Age groups,0–4 years,0–4 years,1143,71.2
SACRAMENTO,2015,Age groups,0–4 years,0–4 years,1150,114.6
SAN BENITO,2015,Age groups,0–4 years,0–4 years,27,68.6
SAN BERNARDINO,2015,Age groups,0–4 years,0–4 years,1523,96.3
SAN DIEGO,2015,Age groups,0–4 years,0–4 years,1870,86.7
SAN FRANCISCO,2015,Age groups,0–4 years,0–4 years,396,88.7
SAN JOAQUIN,2015,Age groups,0–4 years,0–4 years,616,116
SAN LUIS OBISPO,2015,Age groups,0–4 years,0–4 years,87,66.8
SAN MATEO,2015,Age groups,0–4 years,0–4 years,330,70.1
SANTA BARBARA,2015,Age groups,0–4 years,0–4 years,217,77.4
SANTA CLARA,2015,Age groups,0–4 years,0–4 years,689,55
SANTA CRUZ,2015,Age groups,0–4 years,0–4 years,141,85.7
SHASTA,2015,Age groups,0–4 years,0–4 years,110,103.8
SIERRA,2015,Age groups,0–4 years,0–4 years,0,0
SISKIYOU,2015,Age groups,0–4 years,0–4 years,16,75
SOLANO,2015,Age groups,0–4 years,0–4 years,365,143
SONOMA,2015,Age groups,0–4 years,0–4 years,216,78.4
STANISLAUS,2015,Age groups,0–4 years,0–4 years,364,92.5
SUTTER,2015,Age groups,0–4 years,0–4 years,33,48
TEHAMA,2015,Age groups,0–4 years,0–4 years,39,104.9
TRINITY,2015,Age groups,0–4 years,0–4 years,NA,NA
TULARE,2015,Age groups,0–4 years,0–4 years,508,123.4
TUOLUMNE,2015,Age groups,0–4 years,0–4 years,12,55.1
VENTURA,2015,Age groups,0–4 years,0–4 years,442,78.4
YOLO,2015,Age groups,0–4 years,0–4 years,105,90.2
YUBA,2015,Age groups,0–4 years,0–4 years,51,85.2
CALIFORNIA,2015,Age groups,5–17 years,5–17 years,48487,74
ALAMEDA,2015,Age groups,5–17 years,5–17 years,2072,82.8
ALPINE,2015,Age groups,5–17 years,5–17 years,0,0
AMADOR,2015,Age groups,5–17 years,5–17 years,28,69.3
BUTTE,2015,Age groups,5–17 years,5–17 years,209,61.8
CALAVERAS,2015,Age groups,5–17 years,5–17 years,28,47
COLUSA,2015,Age groups,5–17 years,5–17 years,34,73.2
CONTRA COSTA,2015,Age groups,5–17 years,5–17 years,1539,84.1
DEL NORTE,2015,Age groups,5–17 years,5–17 years,39,91.5
EL DORADO,2015,Age groups,5–17 years,5–17 years,122,43.5
FRESNO,2015,Age groups,5–17 years,5–17 years,2690,132.4
GLENN,2015,Age groups,5–17 years,5–17 years,19,34.5
HUMBOLDT,2015,Age groups,5–17 years,5–17 years,110,57.2
IMPERIAL,2015,Age groups,5–17 years,5–17 years,576,154.5
INYO,2015,Age groups,5–17 years,5–17 years,20,74.8
KERN,2015,Age groups,5–17 years,5–17 years,1688,89.3
KINGS,2015,Age groups,5–17 years,5–17 years,403,133
LAKE,2015,Age groups,5–17 years,5–17 years,85,91.6
LASSEN,2015,Age groups,5–17 years,5–17 years,26,62.8
LOS ANGELES,2015,Age groups,5–17 years,5–17 years,13847,85
MADERA,2015,Age groups,5–17 years,5–17 years,345,109.1
MARIN,2015,Age groups,5–17 years,5–17 years,106,28.1
MARIPOSA,2015,Age groups,5–17 years,5–17 years,NA,NA
MENDOCINO,2015,Age groups,5–17 years,5–17 years,90,65.1
MERCED,2015,Age groups,5–17 years,5–17 years,737,126.4
MODOC,2015,Age groups,5–17 years,5–17 years,13,86.9
MONO,2015,Age groups,5–17 years,5–17 years,14,63.8
MONTEREY,2015,Age groups,5–17 years,5–17 years,634,78.5
NAPA,2015,Age groups,5–17 years,5–17 years,136,61.2
NEVADA,2015,Age groups,5–17 years,5–17 years,49,38.5
ORANGE,2015,Age groups,5–17 years,5–17 years,2611,51.3
PLACER,2015,Age groups,5–17 years,5–17 years,246,40.1
PLUMAS,2015,Age groups,5–17 years,5–17 years,15,62.2
RIVERSIDE,2015,Age groups,5–17 years,5–17 years,2774,62.6
SACRAMENTO,2015,Age groups,5–17 years,5–17 years,2135,82
SAN BENITO,2015,Age groups,5–17 years,5–17 years,88,79.5
SAN BERNARDINO,2015,Age groups,5–17 years,5–17 years,3496,84.5
SAN DIEGO,2015,Age groups,5–17 years,5–17 years,2746,53.1
SAN FRANCISCO,2015,Age groups,5–17 years,5–17 years,454,56.2
SAN JOAQUIN,2015,Age groups,5–17 years,5–17 years,1252,87.5
SAN LUIS OBISPO,2015,Age groups,5–17 years,5–17 years,234,64.4
SAN MATEO,2015,Age groups,5–17 years,5–17 years,496,41.9
SANTA BARBARA,2015,Age groups,5–17 years,5–17 years,472,67.2
SANTA CLARA,2015,Age groups,5–17 years,5–17 years,1287,40.2
SANTA CRUZ,2015,Age groups,5–17 years,5–17 years,202,51.7
SHASTA,2015,Age groups,5–17 years,5–17 years,190,68.7
SIERRA,2015,Age groups,5–17 years,5–17 years,NA,NA
SISKIYOU,2015,Age groups,5–17 years,5–17 years,27,41.4
SOLANO,2015,Age groups,5–17 years,5–17 years,776,110.8
SONOMA,2015,Age groups,5–17 years,5–17 years,370,49
STANISLAUS,2015,Age groups,5–17 years,5–17 years,872,83.4
SUTTER,2015,Age groups,5–17 years,5–17 years,88,47.3
TEHAMA,2015,Age groups,5–17 years,5–17 years,89,78.1
TRINITY,2015,Age groups,5–17 years,5–17 years,NA,NA
TULARE,2015,Age groups,5–17 years,5–17 years,756,71.5
TUOLUMNE,2015,Age groups,5–17 years,5–17 years,42,63.1
VENTURA,2015,Age groups,5–17 years,5–17 years,829,56.9
YOLO,2015,Age groups,5–17 years,5–17 years,186,59.4
YUBA,2015,Age groups,5–17 years,5–17 years,80,54.1
CALIFORNIA,2015,Age groups,18–64 years,18–64 years,99761,40.7
ALAMEDA,2015,Age groups,18–64 years,18–64 years,5431,52.8
ALPINE,2015,Age groups,18–64 years,18–64 years,0,0
AMADOR,2015,Age groups,18–64 years,18–64 years,112,50.2
BUTTE,2015,Age groups,18–64 years,18–64 years,631,47.3
CALAVERAS,2015,Age groups,18–64 years,18–64 years,115,46.8
COLUSA,2015,Age groups,18–64 years,18–64 years,40,29.5
CONTRA COSTA,2015,Age groups,18–64 years,18–64 years,3795,56.4
DEL NORTE,2015,Age groups,18–64 years,18–64 years,79,45.5
EL DORADO,2015,Age groups,18–64 years,18–64 years,360,35.7
FRESNO,2015,Age groups,18–64 years,18–64 years,2928,49.8
GLENN,2015,Age groups,18–64 years,18–64 years,75,43.4
HUMBOLDT,2015,Age groups,18–64 years,18–64 years,590,69.6
IMPERIAL,2015,Age groups,18–64 years,18–64 years,534,46.3
INYO,2015,Age groups,18–64 years,18–64 years,48,45
KERN,2015,Age groups,18–64 years,18–64 years,2946,53.1
KINGS,2015,Age groups,18–64 years,18–64 years,551,55.2
LAKE,2015,Age groups,18–64 years,18–64 years,317,85.5
LASSEN,2015,Age groups,18–64 years,18–64 years,97,40
LOS ANGELES,2015,Age groups,18–64 years,18–64 years,26914,41.2
MADERA,2015,Age groups,18–64 years,18–64 years,361,36.9
MARIN,2015,Age groups,18–64 years,18–64 years,268,17.5
MARIPOSA,2015,Age groups,18–64 years,18–64 years,51,54
MENDOCINO,2015,Age groups,18–64 years,18–64 years,296,58.2
MERCED,2015,Age groups,18–64 years,18–64 years,1132,70.6
MODOC,2015,Age groups,18–64 years,18–64 years,26,61
MONO,2015,Age groups,18–64 years,18–64 years,25,27.7
MONTEREY,2015,Age groups,18–64 years,18–64 years,1034,38.5
NAPA,2015,Age groups,18–64 years,18–64 years,297,34.5
NEVADA,2015,Age groups,18–64 years,18–64 years,230,45.5
ORANGE,2015,Age groups,18–64 years,18–64 years,4788,23.9
PLACER,2015,Age groups,18–64 years,18–64 years,611,27.9
PLUMAS,2015,Age groups,18–64 years,18–64 years,69,61
RIVERSIDE,2015,Age groups,18–64 years,18–64 years,5451,38
SACRAMENTO,2015,Age groups,18–64 years,18–64 years,6011,65.5
SAN BENITO,2015,Age groups,18–64 years,18–64 years,146,42.1
SAN BERNARDINO,2015,Age groups,18–64 years,18–64 years,6862,51.5
SAN DIEGO,2015,Age groups,18–64 years,18–64 years,5933,28.6
SAN FRANCISCO,2015,Age groups,18–64 years,18–64 years,1855,32.5
SAN JOAQUIN,2015,Age groups,18–64 years,18–64 years,2558,58.7
SAN LUIS OBISPO,2015,Age groups,18–64 years,18–64 years,534,33.9
SAN MATEO,2015,Age groups,18–64 years,18–64 years,1399,29.6
SANTA BARBARA,2015,Age groups,18–64 years,18–64 years,878,31.1
SANTA CLARA,2015,Age groups,18–64 years,18–64 years,3711,31
SANTA CRUZ,2015,Age groups,18–64 years,18–64 years,474,28.2
SHASTA,2015,Age groups,18–64 years,18–64 years,616,59.8
SIERRA,2015,Age groups,18–64 years,18–64 years,NA,NA
SISKIYOU,2015,Age groups,18–64 years,18–64 years,110,50.8
SOLANO,2015,Age groups,18–64 years,18–64 years,1919,72.7
SONOMA,2015,Age groups,18–64 years,18–64 years,1029,33.5
STANISLAUS,2015,Age groups,18–64 years,18–64 years,1765,53.8
SUTTER,2015,Age groups,18–64 years,18–64 years,175,29.6
TEHAMA,2015,Age groups,18–64 years,18–64 years,160,43.5
TRINITY,2015,Age groups,18–64 years,18–64 years,52,79.2
TULARE,2015,Age groups,18–64 years,18–64 years,1115,40.7
TUOLUMNE,2015,Age groups,18–64 years,18–64 years,163,53.9
VENTURA,2015,Age groups,18–64 years,18–64 years,1362,25.7
YOLO,2015,Age groups,18–64 years,18–64 years,464,35
YUBA,2015,Age groups,18–64 years,18–64 years,178,38.9
CALIFORNIA,2015,Age groups,65+ years,65+ years,18093,36.4
ALAMEDA,2015,Age groups,65+ years,65+ years,1082,54.8
ALPINE,2015,Age groups,65+ years,65+ years,0,0
AMADOR,2015,Age groups,65+ years,65+ years,39,43.7
BUTTE,2015,Age groups,65+ years,65+ years,105,26.7
CALAVERAS,2015,Age groups,65+ years,65+ years,24,22.9
COLUSA,2015,Age groups,65+ years,65+ years,NA,NA
CONTRA COSTA,2015,Age groups,65+ years,65+ years,733,46.7
DEL NORTE,2015,Age groups,65+ years,65+ years,12,24.1
EL DORADO,2015,Age groups,65+ years,65+ years,62,18.7
FRESNO,2015,Age groups,65+ years,65+ years,526,48.3
GLENN,2015,Age groups,65+ years,65+ years,NA,NA
HUMBOLDT,2015,Age groups,65+ years,65+ years,92,41.6
IMPERIAL,2015,Age groups,65+ years,65+ years,117,51.7
INYO,2015,Age groups,65+ years,65+ years,NA,NA
KERN,2015,Age groups,65+ years,65+ years,347,36.7
KINGS,2015,Age groups,65+ years,65+ years,84,60.3
LAKE,2015,Age groups,65+ years,65+ years,46,34.8
LASSEN,2015,Age groups,65+ years,65+ years,18,41.3
LOS ANGELES,2015,Age groups,65+ years,65+ years,4773,38.8
MADERA,2015,Age groups,65+ years,65+ years,84,41.8
MARIN,2015,Age groups,65+ years,65+ years,106,21.7
MARIPOSA,2015,Age groups,65+ years,65+ years,18,41.1
MENDOCINO,2015,Age groups,65+ years,65+ years,53,30.1
MERCED,2015,Age groups,65+ years,65+ years,183,62.5
MODOC,2015,Age groups,65+ years,65+ years,NA,NA
MONO,2015,Age groups,65+ years,65+ years,NA,NA
MONTEREY,2015,Age groups,65+ years,65+ years,190,37.5
NAPA,2015,Age groups,65+ years,65+ years,85,35.5
NEVADA,2015,Age groups,65+ years,65+ years,42,18.7
ORANGE,2015,Age groups,65+ years,65+ years,1208,29.7
PLACER,2015,Age groups,65+ years,65+ years,177,28.1
PLUMAS,2015,Age groups,65+ years,65+ years,NA,NA
RIVERSIDE,2015,Age groups,65+ years,65+ years,743,24.5
SACRAMENTO,2015,Age groups,65+ years,65+ years,813,43.6
SAN BENITO,2015,Age groups,65+ years,65+ years,24,35.1
SAN BERNARDINO,2015,Age groups,65+ years,65+ years,880,39.6
SAN DIEGO,2015,Age groups,65+ years,65+ years,1097,26.8
SAN FRANCISCO,2015,Age groups,65+ years,65+ years,436,35.9
SAN JOAQUIN,2015,Age groups,65+ years,65+ years,376,43.6
SAN LUIS OBISPO,2015,Age groups,65+ years,65+ years,95,19.5
SAN MATEO,2015,Age groups,65+ years,65+ years,470,43.1
SANTA BARBARA,2015,Age groups,65+ years,65+ years,167,27.9
SANTA CLARA,2015,Age groups,65+ years,65+ years,834,36.8
SANTA CRUZ,2015,Age groups,65+ years,65+ years,93,27.6
SHASTA,2015,Age groups,65+ years,65+ years,99,28.1
SIERRA,2015,Age groups,65+ years,65+ years,0,0
SISKIYOU,2015,Age groups,65+ years,65+ years,23,21.7
SOLANO,2015,Age groups,65+ years,65+ years,355,60.7
SONOMA,2015,Age groups,65+ years,65+ years,321,38.9
STANISLAUS,2015,Age groups,65+ years,65+ years,280,42.8
SUTTER,2015,Age groups,65+ years,65+ years,41,28.3
TEHAMA,2015,Age groups,65+ years,65+ years,35,30.8
TRINITY,2015,Age groups,65+ years,65+ years,NA,NA
TULARE,2015,Age groups,65+ years,65+ years,163,32.9
TUOLUMNE,2015,Age groups,65+ years,65+ years,40,33.1
VENTURA,2015,Age groups,65+ years,65+ years,300,26.2
YOLO,2015,Age groups,65+ years,65+ years,97,40.7
YUBA,2015,Age groups,65+ years,65+ years,37,42
CALIFORNIA,2015,Race/ethnicity,White,All ages,54967,40.1
ALAMEDA,2015,Race/ethnicity,White,All ages,1549,32
ALPINE,2015,Race/ethnicity,White,All ages,0,0
AMADOR,2015,Race/ethnicity,White,All ages,161,63.8
BUTTE,2015,Race/ethnicity,White,All ages,764,53.3
CALAVERAS,2015,Race/ethnicity,White,All ages,156,50.1
COLUSA,2015,Race/ethnicity,White,All ages,37,55.1
CONTRA COSTA,2015,Race/ethnicity,White,All ages,1906,40.4
DEL NORTE,2015,Race/ethnicity,White,All ages,110,72.9
EL DORADO,2015,Race/ethnicity,White,All ages,318,25.8
FRESNO,2015,Race/ethnicity,White,All ages,1951,72.7
